latitude,longitude,gh[gpm]_lev1,gh[gpm]_lev2,gh[gpm]_lev3,gh[gpm]_lev4,gh[gpm]_lev5,gh[gpm]_lev6,gh[gpm]_lev7,gh[gpm]_lev8,gh[gpm]_lev9,gh[gpm]_lev10,gh[gpm]_lev11,gh[gpm]_lev12,gh[gpm]_lev13,gh[gpm]_lev14,gh[gpm]_lev15,gh[gpm]_lev16,gh[gpm]_lev17,gh[gpm]_lev18,gh[gpm]_lev19,gh[gpm]_lev20,gh[gpm]_lev21,gh[gpm]_lev22,gh[gpm]_lev23,gh[gpm]_lev24,gh[gpm]_lev25,gh[gpm]_lev26,gh[gpm]_lev27,gh[gpm]_lev28,gh[gpm]_lev29,gh[gpm]_lev30,gh[gpm]_lev31,gh[gpm]_lev32,gh[gpm]_lev33,gh[gpm]_lev34,gh[gpm]_lev35,gh[gpm]_lev36,gh[gpm]_lev37,gh[gpm]_lev38,gh[gpm]_lev39,gh[gpm]_lev40,gh[gpm]_lev41,gh[gpm]_lev42,gh[gpm]_lev43,gh[gpm]_lev44,gh[gpm]_lev45,gh[gpm]_lev46,gh[gpm]_lev47,gh[gpm]_lev48,gh[gpm]_lev49,gh[gpm]_lev50
32.76,-97.633,322.592,350.979,400.573,482.218,600.918,755.701,941.463,1152.135,1388.398,1657.155,1963.791,2311.961,2705.146,3146.44,3640.733,4195.354,4805.428,5440.773,6066.671,6669.074,7249.167,7807.44,8342.211,8852.939,9339.514,9801.549,10242.491,10666.734,11073.381,11471.468,11881.808,12315.962,12776.148,13267.223,13797.131,14376.596,15018.764,15733.568,16520.158,17339.746,18128.1,18876.777,19640.02,20455.873,21334.867,22292.461,23347.645,24525.414,25877.424,27506.555
32.76,-97.601,298.842,327.291,376.886,458.625,577.418,732.357,918.307,1129.198,1365.617,1634.499,1941.072,2289.211,2683.178,3127.003,3624.796,4182.511,4794.459,5430.742,6058.171,6662.668,7244.604,7804.69,8340.992,8852.658,9339.826,9802.268,10243.491,10667.953,11074.881,11472.905,11882.308,12314.868,12773.898,13264.254,13794.037,14374.502,15018.014,15733.6,16520.314,17339.59,18127.256,18875.152,19638.457,20455.467,21335.523,22293.43,23348.113,24523.977,25875.424,27505.961
32.76,-97.569,284.592,313.01,362.667,444.406,563.261,718.232,904.369,1115.479,1352.273,1621.624,1928.822,2277.617,2672.303,3118.034,3619.046,4178.917,4791.396,5427.46,6054.733,6659.605,7241.823,7802.284,8338.961,8850.721,9337.732,9799.893,10241.022,10665.672,11072.943,11471.249,11880.151,12311.056,12769.055,13259.598,13789.912,14371.596,15015.982,15731.381,16517.533,17336.434,18123.443,18870.777,19634.082,20451.686,21332.242,22289.523,23343.332,24519.383,25871.236,27502.492
32.76,-97.537,270.686,299.104,348.761,430.593,549.699,705.076,891.775,1103.604,1341.273,1611.812,1920.572,2271.148,2667.146,3113.378,3614.265,4174.479,4788.365,5425.21,6052.108,6656.543,7238.636,7799.222,8336.367,8848.752,9336.295,9798.705,10239.96,10664.859,11072.725,11471.53,11880.651,12310.837,12767.898,13258.566,13789.443,14371.689,15016.17,15730.756,16516.033,17334.59,18121.475,18869.246,19633.207,20451.092,21331.242,22286.773,23339.113,24516.664,25870.143,27501.586
32.76,-97.506,251.436,279.885,329.604,411.593,530.886,686.513,873.463,1085.76,1324.148,1595.687,1906.009,2258.023,2654.803,3101.128,3602.421,4164.323,4780.115,5417.929,6044.452,6648.73,7231.448,7792.815,8330.711,8843.908,9332.514,9795.955,10237.772,10663.203,11071.568,11470.874,11880.495,12310.587,12766.398,13256.41,13787.568,14369.721,15013.951,15727.631,16511.908,17330.027,18117.35,18866.871,19632.676,20450.936,21330.086,22283.18,23333.551,24512.883,25868.986,27500.242
32.76,-97.474,226.873,255.354,305.104,387.093,506.355,661.826,848.432,1060.104,1297.804,1568.999,1879.634,2232.773,2631.24,3079.378,3582.921,4147.823,4766.834,5407.242,6035.827,6642.449,7227.448,7790.378,8329.805,8844.502,9334.482,9799.205,10242.054,10668.234,11077.006,11476.468,11886.183,12316.306,12771.273,13260.254,13791.287,14373.252,15016.982,15729.693,16512.939,17330.496,18118.162,18869.996,19638.27,20457.342,21335.617,22286.273,23334.363,24514.883,25873.986,27505.18
32.76,-97.442,202.623,231.135,280.886,362.906,482.199,637.795,824.713,1036.948,1275.46,1547.687,1859.197,2213.117,2612.271,3060.815,3565.108,4131.479,4752.553,5395.648,6027.108,6636.262,7223.104,7787.378,8327.961,8843.689,9334.607,9800.143,10243.804,10670.578,11079.506,11478.749,11887.995,12318.118,12773.398,13261.723,13792.287,14374.096,15016.951,15728.6,16511.283,17328.309,18115.881,18869.215,19639.738,20460.092,21338.18,22287.023,23333.363,24514.633,25876.33,27507.805
32.76,-97.41,189.654,218.166,267.979,350.031,469.386,625.138,812.525,1025.854,1266.273,1540.749,1853.822,2207.961,2606.74,3055.065,3559.39,4125.573,4746.678,5391.523,6025.108,6635.074,7222.229,7786.597,8327.211,8843.127,9334.357,9800.33,10244.429,10671.516,11080.475,11479.655,11888.589,12318.743,12774.617,13262.691,13792.725,14374.127,15015.639,15726.318,16509.096,17325.965,18112.881,18866.652,19638.676,20460.279,21338.367,22286.086,23332.051,24514.789,25878.205,27510.055
32.76,-97.378,188.061,216.604,266.448,348.562,468.011,624.045,811.963,1026.073,1267.304,1542.405,1855.916,2210.398,2609.396,3057.815,3561.827,4127.479,4748.334,5394.242,6029.046,6638.98,7225.542,7789.503,8329.93,8845.783,9337.107,9803.268,10247.679,10674.859,11083.818,11482.874,11891.714,12321.868,12777.711,13265.285,13794.443,14374.752,15014.92,15725.068,16508.689,17325.746,18111.818,18865.402,19638.332,20460.654,21338.273,22285.148,23331.988,24516.727,25880.986,27513.086
32.76,-97.346,184.404,212.948,262.854,345.031,464.605,620.701,808.65,1022.604,1263.429,1537.843,1850.791,2205.398,2605.584,3056.065,3562.39,4129.667,4750.896,5396.835,6031.89,6641.699,7227.979,7792.034,8332.93,8849.158,9340.545,9806.736,10251.21,10678.391,11087.162,11486.03,11894.933,12325.368,12781.055,13268.098,13795.818,14374.502,15013.701,15724.225,16509.471,17326.996,18112.256,18865.371,19638.645,20461.154,21337.992,22284.117,23332.145,24518.508,25882.705,27515.055
