latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,1963.79065,0.58609,15.28695,0.27335
32.76018,-97.60131,1941.0719,1.46109,14.78695,-0.81284
32.76021,-97.56938,1928.8219,1.64859,15.66195,2.17221
32.76022,-97.53746,1920.5719,1.02359,18.59945,2.51354
32.76023,-97.50554,1906.0094,-0.28891,21.34945,0.69187
32.76023,-97.47361,1879.6344,-2.47641,18.34945,-0.7982
32.76021,-97.44169,1859.1969,-0.66391,19.22445,0.69993
32.76019,-97.40976,1853.8219,3.39859,23.84945,0.61351
32.76016,-97.37784,1855.91565,3.58609,24.97445,0.0036
32.76012,-97.34591,1850.79065,1.21109,22.41195,0.23883
32.76007,-97.31399,1845.47815,-2.22641,19.78695,1.12089
32.76001,-97.28206,1845.7594,-7.60141,18.09945,1.14383
32.75994,-97.25014,1855.9469,-13.41391,19.09945,0.13582
32.75987,-97.21821,1857.79065,-15.72641,21.16195,-0.87595
32.75978,-97.18629,1844.66565,-15.28891,21.34945,1.28813
32.75968,-97.15437,1829.5719,-15.35141,22.47445,3.33307
32.75958,-97.12244,1850.0719,-15.72641,23.28695,3.45669
32.75946,-97.09052,1852.0719,-14.91391,22.78695,2.71851
32.75934,-97.05859,1844.91565,-12.91391,21.91195,1.97676
32.75921,-97.02667,1835.04065,-10.78891,21.22445,1.58058
32.75906,-96.99475,1827.8219,-8.72641,21.41195,0.94597
32.75891,-96.96282,1825.22815,-6.60141,23.22445,0.64186
32.75875,-96.9309,1823.10315,-5.41391,25.66195,0.54772
32.75858,-96.89897,1840.85315,-5.35141,26.22445,0.37784
32.787,-97.63328,1969.54065,1.52359,14.84945,-2.09841
32.78703,-97.60134,1950.4469,2.08609,14.34945,0.30639
32.78705,-97.56941,1938.91565,0.71109,16.28695,2.70297
32.78707,-97.53747,1914.5094,-0.28891,19.22445,1.98211
32.78708,-97.50554,1884.22815,-2.35141,20.53695,0.33776
32.78707,-97.4736,1860.5719,-5.66391,17.47445,-1.88662
32.78706,-97.44167,1853.04065,-6.10141,17.78695,1.09632
32.78704,-97.40973,1867.72815,-3.60141,23.41195,1.80772
32.78701,-97.37779,1867.47815,-2.22641,24.16195,0.2392
32.78697,-97.34586,1848.97815,-2.60141,22.28695,0.46056
32.78692,-97.31392,1855.7594,-3.78891,21.22445,1.79621
32.78686,-97.28199,1844.91565,-6.10141,19.59945,1.4206
32.78679,-97.25005,1836.0094,-9.03891,18.59945,0.06807
32.78671,-97.21812,1832.10315,-11.47641,18.41195,0.49932
32.78663,-97.18618,1826.7594,-13.22641,17.47445,2.67082
32.78653,-97.15425,1820.47815,-14.35141,17.41195,3.8758
32.78642,-97.12231,1828.0719,-14.60141,17.09945,2.71722
32.78631,-97.09037,1830.47815,-13.41391,17.47445,1.29908
32.78619,-97.05844,1836.22815,-12.35141,17.66195,0.72418
32.78605,-97.0265,1823.5094,-12.16391,18.09945,0.61646
32.78591,-96.99457,1820.9469,-11.41391,19.41195,0.94818
32.78576,-96.96264,1820.97815,-10.03891,21.03695,1.54493
32.7856,-96.9307,1818.10315,-8.97641,22.41195,1.63561
32.78543,-96.89877,1816.60315,-8.41391,22.59945,1.36521
32.81384,-97.63333,1950.6344,2.89859,14.53695,-1.21904
32.81388,-97.60138,1928.8844,1.02359,14.53695,2.36895
32.8139,-97.56943,1901.91565,-1.16391,17.03695,2.50427
32.81392,-97.53749,1886.91565,-1.72641,19.28695,1.62667
32.81392,-97.50554,1876.16565,-3.66391,19.34945,-0.77397
32.81392,-97.47359,1853.79065,-6.53891,16.22445,-2.15765
32.81391,-97.44165,1870.5719,-8.16391,16.16195,1.71526
32.81389,-97.4097,1890.22815,-7.53891,20.84945,2.58512
32.81386,-97.37775,1872.29065,-6.35141,21.66195,1.14838
32.81382,-97.3458,1868.72815,-5.85141,20.78695,1.34507
32.81377,-97.31386,1858.85315,-5.78891,20.28695,2.86474
32.81371,-97.28191,1855.6344,-6.10141,19.47445,2.44876
32.81364,-97.24996,1848.6344,-5.53891,18.53695,0.56702
32.81356,-97.21802,1848.0719,-4.91391,17.53695,0.27531
32.81348,-97.18607,1842.4469,-4.97641,16.09945,1.20974
32.81338,-97.15413,1841.0719,-5.10141,15.72445,0.87386
32.81327,-97.12218,1841.41565,-5.78891,15.59945,-0.184
32.81316,-97.09023,1831.8844,-7.97641,16.91195,-0.09974
32.81303,-97.05829,1830.35315,-10.72641,17.16195,0.27146
32.8129,-97.02634,1829.66565,-12.35141,17.41195,0.68404
32.81276,-96.99439,1833.1344,-12.28891,18.16195,1.31676
32.81261,-96.96245,1833.1344,-11.35141,18.72445,1.64377
32.81244,-96.9305,1831.1969,-10.47641,19.22445,1.57371
32.81227,-96.89856,1816.9469,-9.91391,19.22445,1.37244
32.84069,-97.63337,1917.47815,1.64859,14.22445,2.57469
32.84073,-97.60141,1902.47815,-1.91391,14.84945,3.10264
32.84075,-97.56946,1903.6344,-2.97641,17.28695,1.6002
32.84077,-97.5375,1902.29065,-2.35141,19.28695,0.67553
32.84077,-97.50554,1879.97815,-3.22641,18.78695,-1.32867
32.84077,-97.47358,1856.6344,-5.60141,15.72445,-0.69463
32.84076,-97.44163,1882.2594,-7.22641,15.47445,1.90498
32.84074,-97.40967,1890.0719,-6.47641,18.84945,2.76132
32.84071,-97.37771,1888.1969,-5.16391,19.91195,2.13645
32.84067,-97.34575,1879.2594,-4.85141,18.84945,2.11843
32.84062,-97.31379,1867.91565,-5.10141,17.59945,2.55707
32.84056,-97.28184,1863.85315,-5.22641,17.22445,2.02212
32.84049,-97.24988,1866.8844,-4.10141,17.59945,0.43714
32.84041,-97.21792,1866.8844,-2.66391,18.09945,-0.12662
32.84032,-97.18596,1866.6344,-1.60141,17.84945,-0.27617
32.84023,-97.15401,1865.8219,-0.72641,18.53695,-1.22572
32.84012,-97.12205,1858.04065,-1.72641,18.84945,-1.11388
32.84001,-97.09009,1855.35315,-5.72641,19.34945,0.19138
32.83988,-97.05813,1840.9469,-9.85141,18.34945,0.66612
32.83975,-97.02618,1838.6344,-11.66391,17.41195,1.00437
32.83961,-96.99422,1847.97815,-11.60141,17.28695,1.15711
32.83946,-96.96226,1844.6344,-10.85141,17.34945,1.28979
32.83929,-96.93031,1834.66565,-10.03891,17.41195,1.54718
32.83912,-96.89835,1820.16565,-9.16391,17.22445,1.61796
32.86754,-97.63342,1936.35315,-1.78891,13.34945,3.76946
32.86758,-97.60145,1937.47815,-4.03891,14.66195,1.74465
32.8676,-97.56948,1920.5719,-3.60141,16.59945,0.63803
32.86762,-97.53751,1895.66565,-2.72641,18.72445,0.40778
32.86763,-97.50554,1869.0094,-3.41391,18.22445,-0.06407
32.86762,-97.47357,1862.54065,-5.22641,16.09945,0.02612
32.86761,-97.4416,1898.8219,-5.22641,15.72445,0.82136
32.86759,-97.40964,1906.66565,-2.41391,18.53695,1.91852
32.86756,-97.37767,1901.41565,-0.35141,19.84945,1.74926
32.86752,-97.3457,1882.97815,-0.91391,17.97445,1.38997
32.86747,-97.31373,1874.16565,-2.60141,16.41195,1.13772
32.86741,-97.28176,1876.60315,-3.85141,16.34945,0.3662
32.86734,-97.24979,1883.16565,-4.53891,17.22445,-0.68053
32.86726,-97.21782,1887.04065,-4.78891,18.66195,-1.01597
32.86718,-97.18585,1878.8844,-4.22641,19.72445,-1.2147
32.86708,-97.15389,1870.8844,-3.03891,21.09945,-1.38573
32.86697,-97.12192,1859.9469,-2.91391,21.53695,-0.47203
32.86686,-97.08995,1851.5094,-4.53891,21.09945,0.03595
32.86673,-97.05798,1847.85315,-6.53891,20.03695,0.02299
32.8666,-97.02601,1851.5719,-8.03891,18.72445,0.28166
32.86646,-96.99404,1845.35315,-9.16391,17.72445,0.78585
32.86631,-96.96208,1831.85315,-9.47641,17.09945,1.3724
32.86614,-96.93011,1820.5719,-8.91391,16.66195,1.8818
32.86597,-96.89814,1825.47815,-7.78891,16.28695,1.55477
32.8944,-97.63347,1923.8844,-3.47641,13.09945,2.03139
32.89443,-97.60149,1921.6344,-3.53891,13.97445,0.28154
32.89446,-97.56951,1900.4469,-2.72641,15.09945,0.15191
32.89447,-97.53752,1885.3844,-2.47641,17.34945,0.88734
32.89448,-97.50554,1868.91565,-3.78891,17.59945,0.97715
32.89447,-97.47356,1876.6969,-5.66391,16.78695,-0.15789
32.89446,-97.44158,1892.3219,-5.28891,15.91195,0.05207
32.89444,-97.4096,1915.29065,-2.22641,19.16195,1.26787
32.89441,-97.37762,1902.04065,-0.41391,20.78695,0.76143
32.89437,-97.34564,1887.1969,-1.85141,18.34945,0.23744
32.89432,-97.31366,1885.72815,-4.47641,17.16195,-0.34089
32.89426,-97.28168,1888.6344,-6.66391,17.59945,-1.28431
32.89419,-97.2497,1896.10315,-8.22641,18.59945,-1.8922
32.89411,-97.21772,1887.66565,-9.03891,19.78695,-1.52756
32.89403,-97.18574,1878.16565,-8.66391,20.91195,-0.60919
32.89393,-97.15376,1871.16565,-7.28891,21.47445,0.21107
32.89383,-97.12179,1863.5094,-5.78891,21.28695,0.24332
32.89371,-97.08981,1856.22815,-4.53891,21.03695,-0.45564
32.89359,-97.05783,1859.41565,-3.91391,20.97445,-0.48502
32.89345,-97.02585,1846.22815,-4.66391,20.28695,0.09408
32.89331,-96.99387,1834.9469,-6.16391,18.72445,0.8046
32.89316,-96.96189,1830.54065,-7.35141,17.03695,1.3054
32.893,-96.92991,1822.60315,-8.10141,16.16195,1.37372
32.92125,-97.63351,1928.6344,-3.03891,13.59945,0.17206
32.92128,-97.60152,1908.29065,-2.35141,13.47445,-0.48058
32.92131,-97.56953,1891.41565,-1.66391,14.09945,-0.04789
32.92133,-97.53754,1881.4469,-1.91391,16.28695,1.00201
32.92133,-97.50555,1872.7594,-3.60141,17.28695,0.78398
32.92133,-97.47356,1901.7594,-5.91391,17.16195,-0.87316
32.92132,-97.44156,1910.22815,-6.53891,15.53695,0.24912
32.92129,-97.40957,1916.04065,-5.53891,19.53695,2.31471
32.92126,-97.37758,1906.85315,-5.22641,22.03695,0.66059
32.92122,-97.34559,1905.0719,-5.91391,19.59945,0.02313
32.92117,-97.3136,1902.22815,-7.35141,18.28695,0.15629
32.92111,-97.28161,1897.47815,-9.16391,18.22445,-0.04505
32.92105,-97.24962,1888.6969,-10.72641,18.91195,0.12676
32.92097,-97.21763,1879.7594,-11.41391,19.53695,0.81651
32.92088,-97.18564,1870.22815,-11.28891,19.91195,1.84399
32.92078,-97.15364,1860.8844,-10.22641,19.53695,1.76748
32.92068,-97.12165,1864.3844,-7.78891,19.16195,0.42172
32.92056,-97.08966,1872.0094,-5.22641,19.41195,-0.21681
32.92044,-97.05767,1861.91565,-4.03891,19.78695,-0.04175
32.92031,-97.02568,1848.54065,-4.60141,19.72445,0.16865
32.92016,-96.99369,1841.7594,-6.16391,18.78695,0.35921
32.92001,-96.9617,1832.3219,-7.91391,17.09945,0.52396
32.91985,-96.92971,1820.97815,-10.22641,16.16195,0.33003
32.9481,-97.63356,1906.7594,-2.78891,14.16195,-0.52608
32.94814,-97.60156,1889.5094,-2.41391,13.91195,-0.33147
32.94816,-97.56955,1896.1344,-1.72641,14.41195,0.28717
32.94818,-97.53755,1892.4469,-1.78891,16.09945,1.10126
32.94819,-97.50555,1876.47815,-3.41391,16.97445,0.46862
32.94818,-97.47355,1895.8844,-5.53891,16.41195,-1.25471
32.94817,-97.44154,1919.72815,-5.91391,15.28695,1.05437
32.94815,-97.40954,1921.16565,-5.16391,19.97445,3.76462
32.94812,-97.37754,1914.66565,-4.85141,23.53695,0.50895
32.94808,-97.34554,1911.2594,-3.66391,20.72445,-0.28295
32.94803,-97.31353,1902.54065,-1.72641,18.91195,0.73209
32.94797,-97.28153,1896.54065,-1.41391,17.41195,1.61523
32.9479,-97.24953,1892.79065,-3.41391,16.53695,2.34317
32.94782,-97.21753,1891.3219,-6.60141,16.16195,2.54587
32.94774,-97.18553,1880.04065,-9.22641,16.47445,2.47602
32.94764,-97.15352,1873.5719,-9.47641,17.03695,1.7209
32.94753,-97.12152,1870.47815,-7.53891,17.72445,0.39575
32.94742,-97.08952,1866.97815,-5.41391,18.22445,0.13
32.94729,-97.05752,1858.97815,-5.03891,18.47445,0.42149
32.94716,-97.02552,1845.8219,-6.91391,18.41195,0.30463
32.94702,-96.99352,1838.1969,-9.85141,18.16195,0.1232
32.94686,-96.96151,1824.66565,-12.16391,17.53695,0.27129
32.9467,-96.92951,1820.1344,-13.72641,17.09945,0.23248
32.97496,-97.6336,1903.97815,-2.91391,14.78695,-0.08023
32.97499,-97.60159,1907.6344,-2.78891,14.78695,0.27154
32.97502,-97.56958,1913.8844,-2.03891,15.03695,0.89676
32.97504,-97.53756,1900.0094,-1.66391,16.22445,1.33715
32.97504,-97.50555,1881.0094,-3.35141,16.47445,0.43815
