Level,w_min,w_max,u_min,u_max,v_min,v_max,avg_gh
1,-0.12,0.07,-9.69,7.38,-3.50,4.88,217.53
3,-0.27,0.40,-14.12,9.38,-3.90,7.66,295.84
5,-0.92,1.34,-18.84,8.41,-2.29,9.15,497.20
7,-1.83,2.71,-21.66,5.16,1.68,12.80,840.47
9,-2.24,3.61,-19.65,3.66,6.04,25.47,1294.01
11,-2.16,3.97,-15.73,10.52,12.97,27.47,1879.33
13,-2.53,5.12,-11.76,14.49,13.17,34.73,2629.90
15,-3.30,6.47,-2.94,17.93,11.78,36.28,3579.23
17,-3.29,9.60,-3.03,22.91,16.79,41.85,4762.43
19,-4.16,11.16,-0.28,26.03,12.65,38.09,6037.88
21,-3.79,12.53,3.32,28.69,8.32,36.26,7230.81
23,-4.67,13.40,6.26,30.13,6.88,35.44,8331.53
25,-4.45,13.87,6.82,30.20,4.72,32.91,9335.22
27,-4.31,13.31,5.62,28.69,4.41,27.97,10243.90
29,-5.23,12.13,4.56,27.43,1.19,26.63,11080.29
31,-4.84,11.57,-5.18,31.01,4.34,35.03,11891.61
33,-3.60,9.36,6.61,36.98,5.01,35.32,12781.27
35,-2.34,2.96,15.34,37.65,15.16,35.72,13799.36
37,-1.58,2.83,13.49,33.18,6.88,22.38,15025.35
39,-1.09,0.90,-1.56,6.50,-0.43,8.94,16529.28
41,-0.78,0.92,-3.51,3.42,2.63,9.32,18130.54
43,-0.96,0.44,-5.71,1.04,-0.89,4.99,19641.83
45,-1.19,0.77,-8.85,-1.79,-1.50,5.68,21335.80
47,-1.28,0.71,-6.71,-1.40,-2.31,4.94,23340.52
49,-0.58,0.44,-4.79,2.21,0.66,6.79,25880.76
